      Алые розы   P_27
         Ананас   P_35
          Арбуз   P_58
       Баклажан   P_04
         Бамбук   P_12
     Белая рука   P_34
       Виноград   P_41
   Волчья ягода   P_21
    Гипносолнух   P_09
  Глазной горох   P_23
          Горох   P_11
 Жёлтый тюльпан   P_50
      Зомбильон   P_45
         Кактус   P_07
        Капуста   P_32
       Картошка   P_38
         Клевер  P_03R
       Клубника   P_37
      Костируза   P_06
  Костяная нога   P_40
 Красный дракон   P_47
       Кукуруза   P_13
          Лилия   P_15
            Лук   P_25
            Мак   P_24
         Малина   P_57
        Маракас   P_46
     Мозговница   P_39
        Мухомор   P_22
     Перец Чили   P_26
      Подсолнух   P_02
       Помидоры   P_29
       Рамбутан   P_59
           Рожь   P_10
  Росянка дикая   P_31
        Светляк   P_49
      Смородина   P_28
      Сон-трава   P_30
      Спиралька   P_48
       Тростник   P_36
          Тыква   P_05
      Тыквахелл  P_14R
        Черника   P_01
         Чеснок   P_08
    Чёрная рука   P_33
   Яблочный мак   P_44


		    Омега      isle_omega
     Остров Полярной ночи      isle_polar
              Хрустальный           un_07
            Город-призрак    isle_emerald
              Остров Майя         isle_02
  Остров Маленькой ёлочки      isle_small
                Пещеры Зу           un_02
               Остров НЛО        isle_ufo
              Остров Веры      isle_faith
                   Лунный       isle_moon
          Вишневый остров      isle_light
             Остров Мечты      isle_dream
          Копи царя Зомби           un_04
          Домашний остров            main
     Остров Огромной ёлки        isle_xxl
               Пик Админа  isle_scarecrow
           Остров Надежды       isle_hope
                 Подножье           un_01
       Необитаемый остров     isle_desert
          Остров Чудовища    isle_monster
      Мексиканский каньон           un_03
           Ужасный остров   isle_elephant
                Секретный         isle_01
         Мраморная пещера           un_08
                 Дремучий       isle_wild
            Остров гномов      isle_gnome
         Мобильный остров     isle_mobile
      Остров Большой ёлки      isle_large
             Нижнее днище           un_05
             Склад хакера           un_09
                   Бездна           un_06
                 Страшный      isle_scary
                 Звёздный       isle_star
                 Остров Х          isle_x
                    Альфа      isle_alpha
          Остров Гигантов      isle_giant
             остров Любви         isle_03
          Песочный остров       isle_sand
	       лысая гора  isle_halloween

main
isle_03
isle_x
isle_faith
isle_scary
isle_sand
isle_polar
isle_scarecrow
